deadline_id,related_type,related_id,client_id,deadline_type,due_date,description,priority,status,reminder_sent,completed_date,completed_by,cost,internal_notes,created_on,modified_on
DL-0001,patent,PT-0001,CL-0251,continuation,"July 25, 2026",Continuation for patent PT-0001,low,completed,,10/04/2024,Andrew Davis,,,02/02/18,
DL-0002,patent,PT-0001,CL-0251,examination response,05-02-2024,Examination Response for patent PT-0001 - Response to office action required,medium,completed,,13/01/2024,Kimberly Robinson,,,07/04/2019,
DL-0003,patent,PT-0002,CL-0275,filing,11/02/24,Filing for patent PT-0002,critical,cancelled,,,,1329.61,,2021/09/28,
DL-0004,patent,PT-0003,CL-0286,examination response,"November 20, 2024",Examination Response for patent PT-0003 - Response to office action required,medium,overdue,,,,,,22-10-2023,
DL-0005,patent,PT-0003,CL-0286,examination response,Unknown,Examination Response for patent PT-0003 - Response to office action required,critical,completed,,05 March 2024,Edward Clark,2004.03,,05-27-2022,
DL-0006,patent,PT-0003,CL-0286,annuity,10/28/2026,Annuity for patent PT-0003,low,completed,,20/06/2024,Christopher Wright,1410.45,,"October 26, 2020",04/07/23
DL-0007,patent,PT-0003,CL-0286,renewal,00/00/0000,Renewal for patent PT-0003 - Fee payment required,normal,completed,,2024-07-07,Nancy Morris,288.19,,"August 23, 2021",02-13-2024
DL-0008,patent,PT-0004,CL-0225,continuation,11-04-2026,Continuation for patent PT-0004,critical,pending,,,,,,2019/01/17,
DL-0009,patent,PT-0005,CL-0085,examination response,05-09-2025,Examination Response for patent PT-0005 - Response to office action required,critical,overdue,,,,,,04/01/19,07-02-2024
DL-0010,patent,PT-0005,CL-0085,filing,11/15/26,Filing for patent PT-0005,urgent,overdue,,,,820.95,,08-27-2021,2024-09-05
DL-0011,patent,PT-0005,CL-0085,annuity,26/03/2026,Annuity for patent PT-0005,critical,cancelled,,,,3520.15,,2023/04/13,
DL-0012,patent,PT-0006,CL-0015,continuation,29-03-2026,Continuation for patent PT-0006,urgent,cancelled,,,,3404.21,Legacy deadline record,25/10/2021,
DL-0013,patent,PT-0006,CL-0015,examination response,16 May 2025,Examination Response for patent PT-0006 - Response to office action required,high,completed,,14/05/24,Sharon Anderson,,,12-02-2019,
DL-0014,patent,PT-0006,CL-0015,renewal,26/06/2030,Renewal for patent PT-0006 - Fee payment required,high,overdue,,,,2210.07,Legacy deadline record,10/01/2018,
