tm_id,client_id,mark_text,mark_type,mark_description,goods_services,nice_classes,vienna_classes,application_number,registration_number,filing_date,priority_date,publication_date,registration_date,renewal_date,expiry_date,jurisdiction,trademark_office,status,opposition_period_end,use_basis,first_use_date,first_use_commerce_date,attorney_ref,internal_ref,estimated_cost,actual_cost,created_on,modified_on,notes
TM-0001,CL-0310,WELLNESS,design,Trademark for WELLNESS,Financial services,"10, 1","27.05.01, 26.01.03",87/147163,,05/11/22,30 March 2020,,,,,CN,CNIPA,registered,,,,,ATT-3103,TM-INT-1420,7665.78,,04-25-2021,2023-02-08,
TM-0002,CL-0292,TECHMASTER501,design,Trademark for TECHMASTER501,Pharmaceutical preparations,11,"27.05.01, 26.01.03",90/205511,,1900-01-01,,,,,,CN,CNIPA,pending,,,,,,TM-INT-9063,14471.6,,2023-09-05,26/03/2024,
TM-0003,CL-0356,CYBERTECH844,composite,,Medical devices,"45,32",,87/408665,,08/08/23,,,,,,Europe,EUIPO,registered,,,,,,TM-INT-1079,5102.56,,07/17/2021,03-11-2023,
TM-0004,CL-0278,NATURALS,composite,,Financial services,"30,41",,90/986484,,08-21-2019,,,,,,US,USPTO,abandoned,,1(b),,,ATT-7039,TM-INT-5829,3345.07,2834.69,21/03/22,11/29/23,
TM-0005,CL-0495,INNOVATECH,combined,Trademark for INNOVATECH,Construction materials,41,"27.05.01, 26.01.03",87/314663,6407490,20-07-2022,03/16/22,"August 11, 2021",,,,CN,CNIPA,published,,,,,ATT-6543,TM-INT-4329,7879.1,11127.15,"April 21, 2021",,Legacy trademark record
TM-0006,CL-0047,NOVALUX,,,Automotive parts,1,,89/963071,,07/16/19,,03-28-2023,,,,Europe,EUIPO,cancelled,,,,,ATT-4081,,2415.58,2933.6,16/04/18,12/31/2023,
TM-0007,CL-0445,DRIVETEC,,,Educational services,"19, 25, 10",,90/111966,6749671,08/09/2021,,"September 29, 2020",2024/12/12,00/00/0000,02/26/2032,USA,USPTO,abandoned,,1(a),13-06-2018,,ATT-8159,,3214.3,,25-10-2023,,
TM-0008,CL-0013,SMARTFLOW,,,Medical devices,"12,44,30",,90/356316,6992627,18-05-2020,,17/05/21,,,,CN,CNIPA,opposed,,,,,,TM-INT-2275,9509.73,,04-11-2020,02-04-2023,
TM-0009,CL-0188,CYBERTECH,word,,Construction materials,9,,90/531284,6509375,14 July 2019,,05/05/2020,,,,EU,EUIPO,pending,,,,,ATT-7706,TM-INT-7453,5330.06,,06/27/22,,
TM-0010,CL-0130,CYBERTECH375,combined,Trademark for CYBERTECH375,Financial services,42,,89/382706,6447529,10/02/2020,10/20/21,22-11-2021,,,,United States,USPTO,cancelled,,use-in-commerce,02/10/15,02/21/21,,,7874.89,,"April 16, 2022",,
TM-0011,CL-0388,TECHSTREAM,logo,Trademark for TECHSTREAM,Computer software and hardware,41,"27.05.01, 26.01.03",87/852941,6482656,04-11-2021,,12/06/2021,,,,EU,EUIPO,registered,,,,,ATT-3660,TM-INT-6309,10027.95,,2020/02/13,18/06/23,
TM-0012,CL-0244,TECHPRO,,,Telecommunications services,"45,20,42",,88/651962,,17-11-2021,,,,,,JP,JPO,opposed,,,,,ATT-7004,TM-INT-2563,4248.93,10947.36,2019/01/24,,
TM-0013,CL-0486,TECHPRO,logo,Trademark for TECHPRO,Medical devices,"44,20,45",,89/108765,,14/02/2023,,08 January 2019,,,,EU,EUIPO,opposed,,,,,ATT-6265,TM-INT-2670,,7387.06,2022-01-26,00/00/0000,
TM-0014,CL-0201,LIFETEC636,,,Clothing and apparel,41,,87/269599,5730036,2019-02-16,02/16/2020,01/29/2019,12-05-2023,00/00/0000,2032-08-11,JP,JPO,cancelled,,,,,ATT-5356,TM-INT-5416,8234.98,,2022/10/02,13/12/23,
TM-0015,CL-0120,SYSTEMTECH397,combined,Trademark for SYSTEMTECH397,Telecommunications services,"21, 20",,89/299922,,07/03/19,2021/04/23,16-12-2022,28/05/20,16/06/30,,DE,DPMA,published,,,,,,,10524.18,6880.25,05-20-2022,,Legacy trademark record
TM-0016,CL-0423,FUTURETECH951,design,Trademark for FUTURETECH951,Clothing and apparel,"44, 35, 32","27.05.01, 26.01.03",90/352844,,01/08/21,,"April 19, 2019",,,,EU,EUIPO,abandoned,,,,,ATT-3217,,13862.21,8720.11,02/09/2019,,Legacy trademark record
TM-0017,CL-0146,DATATECH,word,,Food and beverages,"29, 25",,90/458455,,2018/09/23,,,"April 30, 2023","April 06, 2027",2033/10/12,EU,EUIPO,opposed,,,,,ATT-5380,TM-INT-8960,8003.66,10800.24,08-21-2020,2024-08-26,
